File,mean_Q_after_max,average_after_max_p,total_Q,max_pressure,Cd_eff_i,Cd_eff_o,Cd_eff,CD,max_Re,avg_Re,max_Web,avg_Web,max_Web_rel,avg_web_rel,max_Web_i,avg_Web_i,max_Web_o,avg_Web_o,max_Q_outer,avg_Q_outer,max_Q_inner,avg_Q_inner,max_v_outer,avg_v_outer,max_v_inner,avg_v_inner,max_v_rel,avg_v_rel,max_v,avg_v,max_TMR,avg_TMR
1_1_2_1_88bar.lvm,0.957045734,6.433793996,2.788534145,10.6321064,0.25547248,0.574932192,0.319412493,0.314258278,36137.27702,27813.04176,4180.418773,2482.74443,8407.61428,5020.441291,2651.027734,1583.009003,13426.39055,8017.304701,0.447316501,0.344276978,0.794317418,0.611346104,24.04927427,18.50951496,10.68635194,8.22474678,19.0308737,14.64710483,13.41937323,10.29855685,0.349192702,0.349192702
1_1_2_2_88bar.lvm,1.019968546,7.231918063,2.976414489,10.60238037,0.25547248,0.574932192,0.319412493,0.311795967,35418.18346,29658.4594,3980.498113,2812.160582,8076.338176,5694.342177,2546.572164,1795.498525,12897.36505,9093.478773,0.438415376,0.367120032,0.778511342,0.651909409,23.57071917,19.73763613,10.47370485,8.770465327,18.65217945,15.61895199,13.09456418,10.97565526,0.349192702,0.349192702
1_1_2_4_85bar.lvm,1.145033058,8.613233774,0.808036671,10.48113576,0.25547248,0.574932192,0.319412493,0.312410438,38257.73112,33315.80767,4735.331818,3536.584558,9423.242131,7170.808808,2971.268115,2261.047235,15048.27944,11451.29598,0.473564027,0.412391629,0.840926177,0.732299955,25.46043157,22.17159295,11.31340303,9.8519998,20.14756254,17.54501114,14.28228009,12.32144673,0.349192702,0.349192702
1_1_2_5_85bar.lvm,1.311977317,11.48543193,0.919413221,12.31360658,0.25547248,0.574932192,0.319412493,0.307921694,40079.52784,38149.96568,5156.080339,4628.253634,10342.06166,9373.441812,3260.9836,2955.565441,16515.57199,14968.7517,0.496114695,0.472230079,0.88097028,0.838557432,26.67283307,25.38871392,11.8521365,11.28153512,21.10697028,20.09081033,14.90329078,14.11789687,0.349192702,0.349192702
1_1_2_6_85bar.lvm,1.316157527,11.56084826,0.916739437,12.28068437,0.25547248,0.574932192,0.319412493,0.30796398,40009.38706,38297.83238,5153.067018,4657.503662,10305.89529,9445.777642,3249.579883,2978.373848,16457.81675,15084.26712,0.495246475,0.474060411,0.879428547,0.841807625,26.62615455,25.48711887,11.83139479,11.32526159,21.07003224,20.16868096,14.89893525,14.16287919,0.349192702,0.349192702
3_1_2_1_88bar.lvm,1.054341644,8.259827041,0.744733236,11.01203556,0.25547248,0.574932192,0.319412493,0.294165637,37335.45412,30708.8593,4440.814617,3003.300716,8974.387249,6102.745674,2829.738461,1924.273343,14331.48859,9745.671495,0.462147845,0.380122152,0.820654016,0.674997782,24.84665836,20.43667483,11.04067145,9.08108483,19.66186637,16.17212117,13.83100248,11.34553655,0.349192702,0.349192702
3_1_2_2_95bar.lvm,1.164619665,9.403308365,0.80891602,11.65004812,0.25547248,0.574932192,0.319412493,0.303264104,39045.65485,33826.07,4892.877616,3657.815652,9815.385276,7389.326919,3094.915837,2329.948776,15674.50548,11800.2546,0.48331715,0.418707787,0.858245178,0.743515804,25.98479299,22.51117135,11.54640426,10.00289226,20.56250463,17.81372917,14.51792384,12.53221388,0.349192702,0.349192702
3_1_2_3_98bar.lvm,1.230224786,10.40336212,0.848849782,12.43149154,0.25547248,0.574932192,0.319412493,0.303572049,40060.42847,35843.0948,5217.542169,4078.501419,10332.20726,8292.843034,3257.876384,2614.8389,16499.83519,13243.10864,0.495878278,0.443675038,0.880550466,0.787851129,26.66012249,23.85349668,11.84648852,10.59935771,21.09691204,18.87594933,14.99185321,13.23817603,0.349192702,0.349192702
4_1_2_1_88bar.lvm,1.231861174,10.33693507,0.859203072,11.70656537,0.25547248,0.574932192,0.319412493,0.305549055,39024.3851,35889.33787,4871.313787,4083.467328,9804.694513,8302.271829,3091.544903,2617.811919,15657.43305,13258.16579,0.483053867,0.444247447,0.857777657,0.788867578,25.97063802,23.88427134,11.54011447,10.6130325,20.5513034,18.90030219,14.48589691,13.25578483,0.349192702,0.349192702
